"ID";"Geslacht";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"3593";"T001038";"GM0358";"2013JJ00";"   30618"
"3594";"T001038";"GM0358";"2014JJ00";"   30759"
"3595";"T001038";"GM0358";"2015JJ00";"   31077"
"3596";"T001038";"GM0358";"2016JJ00";"   31299"
"3597";"T001038";"GM0358";"2017JJ00";"   31373"
"3598";"T001038";"GM0358";"2018JJ00";"   31499"
"3599";"T001038";"GM0197";"1960JJ00";"   15103"
"3600";"T001038";"GM0197";"1961JJ00";"   15255"
"3601";"T001038";"GM0197";"1962JJ00";"   15461"
"3602";"T001038";"GM0197";"1963JJ00";"   15635"
"3603";"T001038";"GM0197";"1964JJ00";"   15821"
"3604";"T001038";"GM0197";"1965JJ00";"   16019"
"3605";"T001038";"GM0197";"1966JJ00";"   16085"
"3606";"T001038";"GM0197";"1967JJ00";"   16290"
"3607";"T001038";"GM0197";"1968JJ00";"   16274"
"3608";"T001038";"GM0197";"1969JJ00";"   16245"
"3609";"T001038";"GM0197";"1970JJ00";"   16295"
"3610";"T001038";"GM0197";"1971JJ00";"   16517"
"3611";"T001038";"GM0197";"1972JJ00";"   16722"
"3612";"T001038";"GM0197";"1973JJ00";"   17175"
"3613";"T001038";"GM0197";"1974JJ00";"   17287"
"3614";"T001038";"GM0197";"1975JJ00";"   17337"
"3615";"T001038";"GM0197";"1976JJ00";"   17486"
"3616";"T001038";"GM0197";"1977JJ00";"   17542"
"3617";"T001038";"GM0197";"1978JJ00";"   17629"
"3618";"T001038";"GM0197";"1979JJ00";"   17609"
"3619";"T001038";"GM0197";"1980JJ00";"   17573"
"3620";"T001038";"GM0197";"1981JJ00";"   17740"
"3621";"T001038";"GM0197";"1982JJ00";"   17906"
"3622";"T001038";"GM0197";"1983JJ00";"   17875"
"3623";"T001038";"GM0197";"1984JJ00";"   17941"
"3624";"T001038";"GM0197";"1985JJ00";"   18076"
"3625";"T001038";"GM0197";"1986JJ00";"   18075"
"3626";"T001038";"GM0197";"1987JJ00";"   18093"
"3627";"T001038";"GM0197";"1988JJ00";"   18142"
"3628";"T001038";"GM0197";"1989JJ00";"   18202"
"3629";"T001038";"GM0197";"1990JJ00";"   18166"
"3630";"T001038";"GM0197";"1991JJ00";"   18190"
"3631";"T001038";"GM0197";"1992JJ00";"   18344"
"3632";"T001038";"GM0197";"1993JJ00";"   18414"
"3633";"T001038";"GM0197";"1994JJ00";"   18378"
"3634";"T001038";"GM0197";"1995JJ00";"   18469"
"3635";"T001038";"GM0197";"1996JJ00";"   18546"
"3636";"T001038";"GM0197";"1997JJ00";"   18638"
"3637";"T001038";"GM0197";"1998JJ00";"   18782"
"3638";"T001038";"GM0197";"1999JJ00";"   18713"
"3639";"T001038";"GM0197";"2000JJ00";"   18699"
"3640";"T001038";"GM0197";"2001JJ00";"   18773"
"3641";"T001038";"GM0197";"2002JJ00";"   18811"
"3642";"T001038";"GM0197";"2003JJ00";"   18855"
