"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"142219";"T001038";"10010";"T001019";"PV24  ";"1999JJ00";"    4935"
"142220";"T001038";"10010";"T001019";"PV24  ";"2000JJ00";"    5103"
"142221";"T001038";"10010";"T001019";"PV24  ";"2001JJ00";"    5213"
"142222";"T001038";"10010";"T001019";"PV24  ";"2002JJ00";"    5514"
"142223";"T001038";"10010";"T001019";"PV24  ";"2003JJ00";"    5474"
"142224";"T001038";"10010";"T001019";"PV24  ";"2004JJ00";"    5568"
"142225";"T001038";"10010";"T001019";"PV24  ";"2005JJ00";"    5365"
"142226";"T001038";"10010";"T001019";"PV24  ";"2006JJ00";"    5310"
"142227";"T001038";"10010";"T001019";"PV24  ";"2007JJ00";"    5233"
"142228";"T001038";"10010";"T001019";"PV24  ";"2008JJ00";"    5253"
"142229";"T001038";"10010";"T001019";"PV24  ";"2009JJ00";"    5140"
"142230";"T001038";"10010";"T001019";"PV24  ";"2010JJ00";"    5293"
"142231";"T001038";"10010";"T001019";"PV24  ";"2011JJ00";"    5354"
"142232";"T001038";"10010";"T001019";"PV24  ";"2012JJ00";"    5135"
"142233";"T001038";"10010";"T001019";"PV24  ";"2013JJ00";"    4982"
"142234";"T001038";"10010";"T001019";"PV24  ";"2014JJ00";"    4683"
"142235";"T001038";"10010";"T001019";"PV24  ";"2015JJ00";"    4894"
"142236";"T001038";"10010";"T001019";"PV24  ";"2016JJ00";"    4750"
"142237";"T001038";"10010";"T001019";"PV24  ";"2017JJ00";"    4746"
"142238";"T001038";"10010";"T001019";"PV24  ";"2018JJ00";"    4616"
"142239";"T001038";"10010";"T001019";"PV24  ";"2019JJ00";"    4848"
"284000";"T001038";"10100";"T001019";"PV20  ";"1988JJ00";"    6369"
"284001";"T001038";"10100";"T001019";"PV20  ";"1989JJ00";"    6368"
"284002";"T001038";"10100";"T001019";"PV20  ";"1990JJ00";"    6094"
"284003";"T001038";"10100";"T001019";"PV20  ";"1991JJ00";"    6143"
"284004";"T001038";"10100";"T001019";"PV20  ";"1992JJ00";"    6522"
"284005";"T001038";"10100";"T001019";"PV20  ";"1993JJ00";"    6439"
"284006";"T001038";"10100";"T001019";"PV20  ";"1994JJ00";"    6152"
"284007";"T001038";"10100";"T001019";"PV20  ";"1995JJ00";"    6193"
"284008";"T001038";"10100";"T001019";"PV20  ";"1996JJ00";"    6387"
"284009";"T001038";"10100";"T001019";"PV20  ";"1997JJ00";"    6273"
"284010";"T001038";"10100";"T001019";"PV20  ";"1998JJ00";"    6122"
"284011";"T001038";"10100";"T001019";"PV20  ";"1999JJ00";"    6271"
"284012";"T001038";"10100";"T001019";"PV20  ";"2000JJ00";"    6489"
"284013";"T001038";"10100";"T001019";"PV20  ";"2001JJ00";"    6587"
"284014";"T001038";"10100";"T001019";"PV20  ";"2002JJ00";"    6620"
"284015";"T001038";"10100";"T001019";"PV20  ";"2003JJ00";"    6678"
"284016";"T001038";"10100";"T001019";"PV20  ";"2004JJ00";"    6509"
"284017";"T001038";"10100";"T001019";"PV20  ";"2005JJ00";"    6421"
"284018";"T001038";"10100";"T001019";"PV20  ";"2006JJ00";"    6088"
"284019";"T001038";"10100";"T001019";"PV20  ";"2007JJ00";"    5827"
"284020";"T001038";"10100";"T001019";"PV20  ";"2008JJ00";"    5741"
"284021";"T001038";"10100";"T001019";"PV20  ";"2009JJ00";"    5640"
"284022";"T001038";"10100";"T001019";"PV20  ";"2010JJ00";"    5834"
"284023";"T001038";"10100";"T001019";"PV20  ";"2011JJ00";"    5886"
"284024";"T001038";"10100";"T001019";"PV20  ";"2012JJ00";"    5653"
"284025";"T001038";"10100";"T001019";"PV20  ";"2013JJ00";"    5728"
"284026";"T001038";"10100";"T001019";"PV20  ";"2014JJ00";"    5464"
"284027";"T001038";"10100";"T001019";"PV20  ";"2015JJ00";"    5212"
"284028";"T001038";"10100";"T001019";"PV20  ";"2016JJ00";"    5250"
"284029";"T001038";"10100";"T001019";"PV20  ";"2017JJ00";"    5157"
"284030";"T001038";"10100";"T001019";"PV20  ";"2018JJ00";"    5245"
"284031";"T001038";"10100";"T001019";"PV20  ";"2019JJ00";"    4989"
"284128";"T001038";"10100";"T001019";"PV24  ";"1988JJ00";"    3568"
"284129";"T001038";"10100";"T001019";"PV24  ";"1989JJ00";"    3670"
"284130";"T001038";"10100";"T001019";"PV24  ";"1990JJ00";"    3861"
"284131";"T001038";"10100";"T001019";"PV24  ";"1991JJ00";"    3760"
"284132";"T001038";"10100";"T001019";"PV24  ";"1992JJ00";"    4173"
"284133";"T001038";"10100";"T001019";"PV24  ";"1993JJ00";"    4227"
"284134";"T001038";"10100";"T001019";"PV24  ";"1994JJ00";"    4243"
"284135";"T001038";"10100";"T001019";"PV24  ";"1995JJ00";"    4291"
"284136";"T001038";"10100";"T001019";"PV24  ";"1996JJ00";"    4530"
"284137";"T001038";"10100";"T001019";"PV24  ";"1997JJ00";"    4343"
"284138";"T001038";"10100";"T001019";"PV24  ";"1998JJ00";"    4482"
"284139";"T001038";"10100";"T001019";"PV24  ";"1999JJ00";"    4817"
"284140";"T001038";"10100";"T001019";"PV24  ";"2000JJ00";"    5135"
"284141";"T001038";"10100";"T001019";"PV24  ";"2001JJ00";"    5335"
"284142";"T001038";"10100";"T001019";"PV24  ";"2002JJ00";"    5429"
"284143";"T001038";"10100";"T001019";"PV24  ";"2003JJ00";"    5702"
"284144";"T001038";"10100";"T001019";"PV24  ";"2004JJ00";"    5660"
"284145";"T001038";"10100";"T001019";"PV24  ";"2005JJ00";"    5716"
"284146";"T001038";"10100";"T001019";"PV24  ";"2006JJ00";"    5476"
"284147";"T001038";"10100";"T001019";"PV24  ";"2007JJ00";"    5379"
"284148";"T001038";"10100";"T001019";"PV24  ";"2008JJ00";"    5339"
"284149";"T001038";"10100";"T001019";"PV24  ";"2009JJ00";"    5306"
"284150";"T001038";"10100";"T001019";"PV24  ";"2010JJ00";"    5205"
"284151";"T001038";"10100";"T001019";"PV24  ";"2011JJ00";"    5377"
"284152";"T001038";"10100";"T001019";"PV24  ";"2012JJ00";"    5385"
"284153";"T001038";"10100";"T001019";"PV24  ";"2013JJ00";"    5158"
"284154";"T001038";"10100";"T001019";"PV24  ";"2014JJ00";"    5023"
"284155";"T001038";"10100";"T001019";"PV24  ";"2015JJ00";"    4705"
"284156";"T001038";"10100";"T001019";"PV24  ";"2016JJ00";"    4977"
